unique_id,expected_reference_id,normalized_company_name,normalized_registered_address,legal_representative,unified_social_credit_code
EVAL-001,11111111-1111-1111-1111-111111111001,深圳星云科技集团有限公司,广东省深圳市南山区科技园科苑路1号,张华,91440300MA000001X
EVAL-002,11111111-1111-1111-1111-111111111002,广州青禾智能科技有限公司,广东省广州市黄埔区科学大道88号,李敏,
EVAL-003,11111111-1111-1111-1111-111111111003,武汉蓝图装备有限公司,湖北省武汉市东湖高新区光谷大道99号,王强,
EVAL-004,11111111-1111-1111-1111-111111111004,杭州云帆数据技术有限公司,杭州市余杭区文一西路100号,,
EVAL-005,11111111-1111-1111-1111-111111111005,上海海岳生物科技,上海市浦东新区张江路68号,赵宁,
EVAL-006,11111111-1111-1111-1111-111111111006,成都天穹智能机器人有限公司,四川省成都市高新区天府五街168号,刘洋,
EVAL-007,11111111-1111-1111-1111-111111111007,苏州锐科精密制造有限公司,苏州市工业园区星湖街328号,周杰,
EVAL-008,11111111-1111-1111-1111-111111111008,南京智川软件技术有限公司,南京市雨花台区软件大道180号,孙悦,
EVAL-009,,深圳远辰贸易发展有限公司,广东省深圳市福田区深南大道200号,张华,
EVAL-010,,武汉蓝海装备服务有限公司,湖北省武汉市东湖高新区光谷大道19号,王强,
EVAL-011,,南京智汇软件服务有限公司,江苏省南京市雨花台区宁双路28号,孙悦,
EVAL-012,,成都青禾智能设备有限公司,四川省成都市高新区益州大道88号,李敏,
