meter_id,source_company_id,company_name,reading_time,energy_kwh
M-001,ENERGY-C001,星云科技,2025-01-31T23:59:00+08:00,12850
M-001,ENERGY-C001,星云科技,2025-02-28T23:59:00+08:00,13120
M-001,ENERGY-C001,星云科技,2025-03-31T23:59:00+08:00,12990
M-002,ENERGY-C002,广州青禾智能科技有限公司,2025-01-31T23:59:00+08:00,8240
M-002,ENERGY-C002,广州青禾智能科技有限公司,2025-02-28T23:59:00+08:00,8160
M-002,ENERGY-C002,广州青禾智能科技有限公司,2025-03-31T23:59:00+08:00,7990
M-003,ENERGY-C003,武汉蓝图装备制造,2025-01-31T23:59:00+08:00,22400
M-003,ENERGY-C003,武汉蓝图装备制造,2025-02-28T23:59:00+08:00,21800
M-003,ENERGY-C003,武汉蓝图装备制造,2025-03-31T23:59:00+08:00,22150
M-004,ENERGY-C004,杭州云帆数据科技有限公司,2025-02-28T23:59:00+08:00,6100
M-004,ENERGY-C004,杭州云帆数据科技有限公司,2025-03-31T23:59:00+08:00,6250
M-005,ENERGY-C005,上海海岳生物科技有限公司,2025-01-31T23:59:00+08:00,15400
M-005,ENERGY-C005,上海海岳生物科技有限公司,2025-02-28T23:59:00+08:00,-999
M-005,ENERGY-C005,上海海岳生物科技有限公司,2025-03-31T23:59:00+08:00,14980
