source_company_id,expected_entity_id,label
EVAL-001,00000000-0000-0000-0000-000000000001,MATCH
EVAL-002,00000000-0000-0000-0000-000000000002,MATCH
EVAL-003,00000000-0000-0000-0000-000000000003,MATCH
EVAL-004,00000000-0000-0000-0000-000000000004,MATCH
EVAL-005,00000000-0000-0000-0000-000000000005,MATCH
EVAL-006,00000000-0000-0000-0000-000000000002,MATCH
EVAL-007,00000000-0000-0000-0000-000000000006,MATCH
EVAL-008,,NO_MATCH
EVAL-009,,NO_MATCH
EVAL-010,00000000-0000-0000-0000-000000000007,MATCH
EVAL-011,00000000-0000-0000-0000-000000000008,MATCH
EVAL-012,,NO_MATCH
