unique_id,split,company_name,normalized_company_name,normalized_registered_address,legal_representative,unified_social_credit_code
T001,train,深圳华星科技有限公司,深圳华星科技有限公司,深圳市南山区科技园A栋101,李明,91440300EVAL000001
T002,train,深圳华兴科技公司,深圳华兴科技公司,深圳市南山区科技园A栋102,王强,
T003,train,深圳海蓝数据科技有限公司,深圳海蓝数据科技有限公司,深圳市福田区深南大道100号,陈洁,
T004,train,广州云帆智能科技,广州云帆智能科技,广州市天河区科韵路88号,周涛,
T005,train,北京星河软件科技有限公司,北京星河软件科技有限公司,北京市海淀区中关村大街10号,赵磊,
T006,train,上海智芯电子科技有限公司,上海智芯电子科技有限公司,上海市浦东新区张江路66号,孙悦,
E001,eval,杭州远景网络科技有限公司,杭州远景网络科技有限公司,杭州市西湖区文三路200号,吴桐,
E002,eval,苏州启明制造科技有限公司,苏州启明制造科技有限公司,苏州市工业园区星湖街99号,郑凯,
E003,eval,成都天府信息技术,成都天府信息技术,成都市高新区天府大道500号,刘洋,
E004,eval,武汉楚云数字科技公司,武汉楚云数字科技公司,武汉市洪山区光谷大道77号,何静,
E005,eval,西安秦科新能源有限公司,西安秦科新能源有限公司,西安市高新区锦业路30号,高峰,
E006,eval,南京宁智物联网科技有限公司,南京宁智物联网科技有限公司,南京市雨花台区软件大道168号,胡宁,
E900,eval,深圳华星软件有限公司,深圳华星软件有限公司,深圳市南山区科技园C栋300,唐杰,
E901,eval,杭州远景咨询有限公司,杭州远景咨询有限公司,杭州市西湖区文二路88号,吴桐,
